Price,Close,High,Low,Open,Volume
2024-05-30,147.80789184570312,148.29328085672245,145.8375776815806,147.45240243697688,5255000
2024-05-31,148.66336059570312,148.94562571842496,146.12419089229934,147.50794474780486,8827500
2024-06-03,148.16297912597656,148.98142172534006,146.20448352893823,148.66334039144797,5747500
2024-06-04,149.64791870117188,150.52973437191477,148.37045732774857,148.5117851083576,4067500
2024-06-05,150.81631469726562,151.0903202777549,147.78034307720586,149.95103312638923,3565000
2024-06-06,149.99038696289062,151.75520430339893,149.59435089294547,150.81629306552878,3660000
2024-06-07,150.45523071289062,150.73734780774785,148.75500221153635,149.43682156611368,4035000
2024-06-10,149.49363708496094,150.1577102679778,147.83484642482875,150.1577102679778,5667500
2024-06-11,149.4928436279297,150.72351403482335,148.46773651140253,148.8725714134819,5482500
2024-06-12,152.9536590576172,154.345730596878,150.21491239756782,150.21491239756782,6412500
2024-06-13,152.1538543701172,152.5496129778976,150.74639990932062,151.91157959923393,3842500
2024-06-14,152.27066040039062,152.42888559318195,150.49506728132405,151.39903706856418,3592500
2024-06-17,155.97848510742188,156.17221763923757,152.0895502528893,153.0459907990135,4502500
2024-06-18,156.77198791503906,157.40094512765552,155.36177872416084,156.1615745995638,4495000
2024-06-20,156.72857666015625,158.0038458715806,156.30244332708295,157.63295288086113,5302500
2024-06-21,157.40011596679688,157.54137768752636,155.49235272166308,157.14325594929568,12455000
2024-06-24,157.08840942382812,158.54399971864996,156.25190220460757,157.4005248299956,4047500
2024-06-25,158.3976287841797,159.13234037096385,157.27783030818208,158.49588735253434,3752500
2024-06-26,157.13497924804688,158.15338831048172,156.69147609958927,157.36384282762597,4377500
2024-06-27,158.20114135742188,159.40854167903916,157.83023332504314,159.40854167903916,4212500
2024-06-28,156.31112670898438,159.0798569308522,155.89680909355846,157.59348533587624,8030000
2024-07-01,153.28787231445312,156.93650412642768,152.69127667040672,156.93650412642768,5777500
2024-07-02,154.5240936279297,154.76754247957243,152.96946183357323,152.96946183357323,4905000
2024-07-03,154.5509033203125,155.3432183349112,153.9614121591631,154.37807782975185,1985000
2024-07-05,155.07411193847656,155.45329848461577,154.0817576275679,155.3436155550462,5042500
2024-07-08,157.2237548828125,157.94070522841483,154.43845276233307,155.1790646368086,3987500
2024-07-09,156.941650390625,158.6288590220252,156.80038864363195,158.02082390944867,3770000
2024-07-10,157.43763732910156,157.47078153397507,155.8573571631323,157.04582225323318,3975000
2024-07-11,155.32113647460938,157.79037976903672,154.91550378229476,157.79037976903672,5735000
2024-07-12,158.87310791015625,159.86979722663824,155.85736147974737,155.85736147974737,4940000
2024-07-15,161.30250549316406,161.7759919868964,158.3534388861292,159.19625297297944,3637500
2024-07-16,162.5292205810547,163.52473575815367,162.195806760345,162.4467514228375,3610000
2024-07-17,157.4214324951172,162.11964539506914,157.40841263461306,161.85804403603808,5670000
2024-07-18,155.09030151367188,158.72750928414862,154.08768177480192,157.91467850336986,4740000
2024-07-19,156.53797912597656,156.92189191593462,155.09027599530313,155.3873997494697,4002500
2024-07-22,154.25537109375,157.22415531331376,154.0817478588972,156.88323062589143,6365000
2024-07-23,154.64205932617188,155.67544499086847,153.94878556125656,154.16067063884645,5212500
2024-07-24,150.16677856445312,153.5321192700642,149.93871273488907,153.0953142031457,8052500
2024-07-25,144.40992736816406,149.38631430066263,143.7458541984599,149.38631430066263,12062500
2024-07-26,146.0320281982422,146.5548396519548,144.38112467274408,145.93536512587096,5850000
2024-07-29,148.16827392578125,149.92413421807123,146.59589587124577,147.3779456355617,5615000
2024-07-30,146.82118225097656,149.6009605425648,145.35178915815965,148.04909828546582,5492500
2024-07-31,146.58522033691406,148.9917273007648,145.99770095487375,148.9917273007648,9827500
2024-08-01,144.57960510253906,147.9031170923287,143.28737239231907,146.63337186835327,13797500
2024-08-02,131.31988525390625,136.74254516789765,129.85679888243052,130.66725146708058,20037500
2024-08-05,133.5018768310547,133.65654976954124,125.47501962629566,126.46145848350217,16630000
2024-08-06,134.82962036132812,137.73764026536662,133.62261147879786,134.7475576050299,10732500
2024-08-07,130.4316864013672,137.0100583938212,129.88638747346556,134.26026346888764,10492500
2024-08-08,133.95249938964844,134.53369701912044,130.52165274023767,130.84403356607433,9432500
2024-08-09,135.85433959960938,136.36532025292996,133.95249152346307,133.95249152346307,6295000
2024-08-12,135.70164489746094,136.97572497395836,134.12688878656007,135.82908902958417,5317500
2024-08-13,140.7751007080078,140.9522611458821,137.01636431161626,137.50801839341113,6582500
2024-08-14,140.96527099609375,142.45242514559664,140.37577984094375,140.94239216462026,4750000
2024-08-15,143.41519165039062,144.17633427135368,142.3328723713412,142.8363571971444,5045000
2024-08-16,142.79135131835938,143.48936634731356,141.7425677071231,143.41517572158116,4907500
2024-08-19,146.072265625,146.22141453660117,142.45914114368944,142.6990377380077,4952500
2024-08-20,146.09161376953125,146.76277637566878,144.63325373934376,145.6832266013383,4400000
2024-08-21,147.49234008789062,147.77012220544373,145.32770167610278,146.0915987364082,6540000
2024-08-22,148.67962646484375,149.5903093502007,148.06132602412686,148.06132602412686,4347500
2024-08-23,151.14532470703125,152.0390290450973,148.33791151429486,149.1211502332103,5582500
2024-08-26,149.85543823242188,152.23984865999597,149.33696183472586,151.595899950531,5480000
2024-08-27,153.1525421142578,153.94682901143838,149.88032694845407,149.88032694845407,5907500
2024-08-28,153.8150177001953,154.3409899994977,152.31917861101346,153.0163959552209,5805000
2024-08-29,153.52186584472656,155.0591277937475,153.18529110794677,154.47634971322157,5600000
2024-08-30,154.2486572265625,155.47262953008374,153.32021319151326,155.07212957248456,5990000
2024-09-03,150.48243713378906,154.09872264381207,149.86809531742068,152.93789281257446,6917500
2024-09-04,149.90753173828125,150.27725063021936,148.73485620385927,148.99803801493846,5490000
2024-09-05,149.22373962402344,149.54058132168868,147.26702765190532,148.13509864419748,5307500
2024-09-06,147.57138061523438,150.0625833256636,146.36988542882486,149.38233600387377,7077500
2024-09-09,150.40072631835938,150.64315561263197,147.06633911042078,148.2899967866833,6025000
2024-09-10,151.6635284423828,151.76673702658772,149.41001781196545,151.01254946272238,4372500
2024-09-11,151.3728485107422,151.7102037706802,147.096413084733,151.7102037706802,6135000
2024-09-12,153.08255004882812,154.06296374295962,150.83537578182978,151.6457314139431,4655000
2024-09-13,155.53024291992188,155.76991133541063,154.02420618467295,154.08313510516263,3992500
2024-09-16,157.36570739746094,158.1768475075996,155.42779689271953,156.21878108009906,4512500
2024-09-17,159.8743133544922,160.07442426264214,157.60300023462088,158.1962421774942,4347500
2024-09-18,159.31549072265625,161.11654931532445,158.92830385951137,160.1737016293737,3400000
2024-09-19,158.8887481689453,162.3485066329801,158.1108290428136,162.29986688621113,7465000
2024-09-20,160.727783203125,160.86422795437986,157.6255660451443,158.57868785023896,11097500
2024-09-23,162.03564453125,162.3437314198289,159.40998869521815,160.72775752974206,6342500
2024-09-24,165.21856689453125,165.42540649154466,161.5539455500127,163.2585090094557,5400000
2024-09-25,165.14500427246094,165.35896482483446,164.08232246537557,165.2185673561849,4917500
2024-09-26,168.83255004882812,168.98838127487016,165.98303675434772,166.51300473850924,5347500
2024-09-27,168.0083465576172,168.9136280771088,167.334435713618,168.83532775069997,4065000
2024-09-30,166.58538818359375,167.2280543714002,165.43885408320085,166.9029646720046,5445000
2024-10-01,162.1903076171875,167.21343265825163,161.56583602634407,167.21343265825163,5962500
2024-10-02,163.1402587890625,163.28382447860523,161.0532608349313,162.19029023363626,4112500
2024-10-03,162.31410217285156,162.68665489286843,160.60795434123304,161.36018073712034,3015000
2024-10-04,165.61959838867188,165.979493274713,163.50847656123503,164.71234041898128,4190000
2024-10-07,164.91246032714844,168.33187650444532,164.5027338566299,165.15173648233014,4612500
2024-10-08,167.4182891845703,168.47899469224365,165.3150728133168,165.3150728133168,4022500
2024-10-09,169.7445526123047,170.24959727797201,167.18455428234412,167.25297277794698,3847500
2024-10-10,169.5950469970703,170.3773411593739,168.76532003731464,169.62589943688886,3110000
2024-10-11,169.45704650878906,171.1896864737096,169.18533380237415,170.06095477781082,3125000
2024-10-14,169.97079467773438,170.78036584366737,169.4321366410136,169.95893647650027,3495000
2024-10-15,170.3682403564453,172.8756459997711,169.0528251130228,169.20470359972467,4570000
2024-10-16,171.53494262695312,172.27253473490276,169.22449456436695,170.0771685418081,3100000
2024-10-17,172.85983276367188,173.8161377550782,172.3160452818499,172.43388803017174,3717500
2024-10-18,172.0708465576172,173.13668152833864,171.42540440554555,172.85983931688253,3652500
2024-10-21,172.58102416992188,173.07104243732616,170.97968430111567,170.97968430111567,3307500
2024-10-22,173.13710021972656,173.81813210454817,171.28065808377067,171.3158555181937,3105000
2024-10-23,170.57550048828125,172.8428458659838,168.89822885223768,172.20057190070702,4445000
2024-10-24,171.5926971435547,171.69394445670557,169.63897552148265,170.06413578551258,3995000
