Price,Close,High,Low,Open,Volume
2024-05-30,493.7047119140625,499.37781256895516,488.6522717263461,498.6892618141715,332600
2024-05-31,493.2003479003906,494.20890621907694,484.39494333353997,493.2003479003906,966400
2024-06-03,507.16497802734375,508.3868848860435,488.7589553555673,490.21359510364937,682800
2024-06-04,505.225341796875,511.22815613989286,500.92931383479197,506.9612493769851,485800
2024-06-05,501.4627990722656,508.4160198729694,500.8033694713272,506.1564628299908,367200
2024-06-06,498.1558837890625,506.23399900572457,494.95568848121826,503.55745264989355,319500
2024-06-07,498.02008056640625,502.7525126230155,495.091416935506,496.0417920926832,269100
2024-06-10,510.62701416015625,510.9955276216989,496.04184798186645,497.48678062291674,511200
2024-06-11,511.9846496582031,512.2270895851944,504.14897464480106,510.62696239127746,411000
2024-06-12,515.330322265625,522.157409166071,513.7010739018606,515.9509234824408,387800
2024-06-13,512.760498046875,522.0895826567995,508.42570011970844,522.0895826567995,401600
2024-06-14,507.0904846191406,515.1819994795659,507.08080911077946,510.7764377921074,374200
2024-06-17,517.5452880859375,519.7724359101646,506.5751010778554,507.93667668532134,427900
2024-06-18,518.9846801757812,521.2603836079484,513.3245074809539,517.6328394442831,356200
2024-06-20,510.58197021484375,519.3348039899554,508.0728079121382,519.3348039899554,401500
2024-06-21,507.4990539550781,513.3342765831513,499.92295191989916,512.4687043138381,854000
2024-06-24,518.7706298828125,520.5601239426434,504.3382151576604,506.46807339764416,500200
2024-06-25,513.3731689453125,518.1288897467952,508.5104833059124,517.8954903335368,320200
2024-06-26,505.1065979003906,512.1963721168032,505.0871281631776,512.1963721168032,255000
2024-06-27,501.8194274902344,505.71931090444974,500.1953070930297,505.64149131303367,267000
2024-06-28,502.1501159667969,507.1781163385622,498.7656463699969,502.11117649163157,882800
2024-07-01,491.47161865234375,502.1889665749061,484.72220895187075,502.1889665749061,472200
2024-07-02,479.0814514160156,490.85889026577496,477.58376576118246,490.85889026577496,443200
2024-07-03,483.6718444824219,487.1729838451142,479.3635124164096,480.2096149125028,221300
2024-07-05,480.1707458496094,483.2050568072808,476.82521590154175,481.2988924301881,362600
2024-07-08,486.5894470214844,495.1088810393426,484.7027524579228,494.60317246018406,614300
2024-07-09,464.7073974609375,487.67874909048305,463.7737701390644,486.60895232610903,757300
2024-07-10,464.8630065917969,466.8372557501504,457.5787130901955,464.7754818128918,626400
2024-07-11,460.0975341796875,471.6901884905859,459.222256799581,467.897270377667,421200
2024-07-12,477.9825134277344,482.60206435153566,463.58894747852133,463.58894747852133,720500
2024-07-15,469.76458740234375,479.2857337832997,469.58953784996083,478.0992373513548,581300
2024-07-16,476.3973083496094,479.10096032301027,469.6187235188178,471.68049743932073,572900
2024-07-17,460.2726135253906,475.9596413867219,459.62103030179,473.00312035096636,956500
2024-07-18,397.80657958984375,423.03419407791347,395.00566802202616,398.54568759617365,3127800
2024-07-19,393.0703125,400.4129553546363,389.04399486744046,396.153238327543,1613500
2024-07-22,404.1377868652344,407.53196158365785,390.27913295595124,392.0491576309483,1651200
2024-07-23,411.3248596191406,421.4781497166642,405.5479866436711,407.26936669373356,1605800
2024-07-24,413.0656433105469,415.61368545628164,407.23042141485877,410.41060666339837,1087700
2024-07-25,413.49359130859375,414.40774883202647,405.7716447441423,412.2001004093943,958100
2024-07-26,405.9856262207031,414.16463715312705,403.69042322032885,413.3282694892507,810300
2024-07-29,416.3723449707031,418.7842181668778,406.0050951363831,411.0428305736283,759400
2024-07-30,417.3642883300781,419.1829279487797,413.73674396105633,416.070827052863,524400
2024-07-31,416.9266357421875,423.0536071463097,413.6880708186996,423.0536071463097,842800
2024-08-01,414.9232177734375,419.68864334252027,410.1869374489556,418.1909279878456,590100
2024-08-02,417.2184143066406,417.2184143066406,409.1755432049681,411.9667199225923,550900
2024-08-05,417.43231201171875,426.0392699787329,406.5204462155949,408.02786662044275,769700
2024-08-06,417.1989440917969,425.484948868581,415.92492296211407,421.3614013758351,657900
2024-08-07,415.82769775390625,423.7830441620903,414.1646379325492,417.8602967449766,573500
2024-08-08,425.5919494628906,428.7526950629783,416.1777973832424,416.1777973832424,532200
2024-08-09,426.36029052734375,428.4512395125154,422.64519140497686,425.9712815942038,442600
2024-08-12,432.6817321777344,435.3465039049146,423.9775432960132,425.4849638676397,474500
2024-08-13,429.18060302734375,436.7858501425124,424.21095277737965,433.75153919105804,750400
2024-08-14,430.0948181152344,432.93463964161845,427.1188568216866,432.4094612723223,334800
2024-08-15,432.3705139160156,435.9591780487472,430.5226994343201,433.79043939559733,423300
2024-08-16,430.7463684082031,432.9345766692607,426.1949023482772,431.32989654704664,502700
2024-08-19,420.95294189453125,432.3608124123366,417.694936773538,430.7561321824373,997800
2024-08-20,415.3316650390625,424.4248922794943,411.49013186749494,420.7778783873004,860300
2024-08-21,415.9541015625,420.0776490916956,412.7544464084723,416.6348596790224,645500
2024-08-22,404.7991027832031,415.93463408185085,404.07940519166783,415.93463408185085,749100
2024-08-23,413.6005859375,415.0204818249561,405.0617111959858,407.3374444992711,833400
2024-08-26,412.8225402832031,419.34825561978033,411.8013585665503,413.32824886779485,683400
2024-08-27,406.9192199707031,411.19837694248326,404.7601865891972,410.49814909768475,565600
2024-08-28,404.6629333496094,407.68753897686963,403.2041277898345,406.4426927530408,479100
2024-08-29,401.6188659667969,405.03248028966533,394.54853275370743,403.60284973114955,676100
2024-08-30,402.8345642089844,404.30310465570324,400.6950005011526,402.9901736989227,580000
2024-09-03,392.4673156738281,404.089145323267,390.288842173609,401.1034494489476,652300
2024-09-04,394.3929443359375,400.08229195138824,389.6956034953759,391.48506808604105,542800
2024-09-05,398.9930725097656,406.1801061079329,395.18071409173507,396.62978484557834,846800
