Price,Close,High,Low,Open,Volume
2024-05-30,105.41010284423828,105.46619462979722,104.22278154261994,104.26017131117284,760400
2024-05-31,108.94402313232422,109.0188169315549,105.29790744621526,105.80275489192844,1519700
2024-06-03,108.67291259765625,109.41148539551357,108.28025580873872,108.90663789573527,1035000
2024-06-04,108.94402313232422,109.25254220460381,107.64451118479059,108.37373289546652,753700
2024-06-05,107.08358001708984,108.71030604280328,106.94334341615786,108.40178694729889,822500
2024-06-06,106.148681640625,107.4107968166802,106.04584193942428,106.63482711952204,746000
2024-06-07,105.01744842529297,105.78406708688149,104.78372313660465,104.84916593212819,748000
2024-06-10,105.3072738647461,106.017800795956,104.55935002844825,104.89591504150924,1093600
2024-06-11,106.33565521240234,106.4478459186161,104.11994404333608,104.41911212717636,1390300
2024-06-12,105.29791259765625,107.79410405681296,105.00809552737039,107.7006082368359,999400
2024-06-13,105.2137680053711,105.83079900684271,104.18537824776561,105.18572211431272,1521200
2024-06-14,104.83981323242188,105.59708087308431,104.4097595640994,104.7463245450004,766200
2024-06-17,104.50016784667969,105.1700398407875,103.62272846320262,104.08503306794117,1178400
2024-06-18,104.32090759277344,104.528474989704,103.37742465996433,104.16051722176474,946000
2024-06-20,104.8398208618164,105.51912249310412,103.90576762216484,104.34920573020491,902000
2024-06-21,104.64168548583984,106.09464272844129,104.50016161986616,105.3209870857484,1884700
2024-06-24,106.42485809326172,106.77394210723831,104.57562555122497,104.68884607365646,839700
2024-06-25,103.8019790649414,106.20786319028674,103.73593555395794,105.80216528047329,1208000
2024-06-26,104.20767211914062,104.54732650214424,102.79244792269307,103.18871616833229,957200
2024-06-27,104.96247863769531,105.12286901231437,103.91521198284718,104.30204344914411,669400
2024-06-28,104.73603057861328,105.40590252160143,104.18880881170936,105.3870288340791,1566100
2024-07-01,102.9528579711914,105.43421543893803,102.65094372721386,105.14173803957948,890900
2024-07-02,103.2170181274414,103.6227160129541,102.83962357376875,103.33966829814901,727900
2024-07-03,103.06607055664062,104.44355473455634,103.02833037664526,103.2075944320724,350300
2024-07-05,103.56610870361328,103.94350328116339,102.8018899027714,103.14154430274621,937900
2024-07-08,102.84907531738281,103.78312139443578,102.56602756157116,103.54725066399388,972100
2024-07-09,102.52828979492188,103.65103680168525,102.43394294016443,102.60377015800928,968200
2024-07-10,102.91510772705078,103.26419176358033,102.27353912156082,103.03775790229054,1025600
2024-07-11,106.78339385986328,107.08530809696626,103.52838076615308,103.66046779499793,1904000
2024-07-12,108.00991821289062,108.73639682926958,106.84943115761197,107.19852239822164,1039200
2024-07-15,106.73621368408203,108.34013886986708,106.28334594090255,107.4060856529288,1133600
2024-07-16,108.21749114990234,108.37788872153939,106.74566005589485,107.16079485603179,1118300
2024-07-17,110.70828247070312,111.83102944987179,108.28353165219346,108.65149661364987,1274900
2024-07-18,110.08558654785156,111.87820552172137,109.76479861445007,109.783672303699,1018900
2024-07-19,109.52892303466797,110.94414734110873,108.95340510572888,110.94414734110873,671500
2024-07-22,110.58563232421875,110.7554595379539,109.41571551748959,110.0572841917998,760900
2024-07-23,109.34967041015625,110.53846088900823,109.25532355905446,110.42524034876408,647200
2024-07-24,111.2460708618164,111.66119843806646,109.81197283999782,110.53845869529101,954000
2024-07-25,111.51024627685547,113.7274296526608,110.58562986746004,111.63289646252696,1063500
2024-07-26,111.51024627685547,112.57637936271675,110.38749932220458,112.57637936271675,1712700
2024-07-29,112.37824249267578,112.80280689458486,110.80262786560515,111.52910649065473,882100
