Price,Close,High,Low,Open,Volume
2024-05-30,237.4263153076172,237.6585397888751,236.0143864928891,236.9061205635592,197300
2024-05-31,241.31837463378906,241.77352549816635,238.00220258492357,239.144757118352,489400
2024-06-03,242.09866333007812,244.28157905666328,240.0550766184422,242.99969542370204,317300
2024-06-04,245.0525360107422,246.15792670413626,242.16367734575783,242.16367734575783,292800
2024-06-05,249.01893615722656,249.33478638870548,242.32159024639236,244.35587891192728,247800
2024-06-06,249.2418975830078,250.20793101288388,246.9196527747606,248.12720873596317,200300
2024-06-07,249.00965881347656,249.80849737477138,246.4830554731769,246.4830554731769,262100
2024-06-10,250.2172088623047,253.10609591134408,248.42444281852693,248.42444281852693,295300
2024-06-11,246.75244140625,250.1057490776027,246.65024790072786,248.3501185133869,266700
2024-06-12,252.1400146484375,254.20216884558263,250.93245887841908,252.42797069125282,291900
2024-06-13,255.63267517089844,255.77200416550895,251.67556163769981,252.84598188784813,433300
2024-06-14,258.6980285644531,259.24607484622175,253.12464195265164,255.3075573784826,414600
2024-06-17,261.2897033691406,262.2186012874164,256.2086306222638,256.23649642590345,514300
2024-06-18,264.3550109863281,264.52220578022775,260.5836883361383,262.9430965916589,321600
2024-06-20,260.1656799316406,263.3889563891854,257.8620315604527,262.50652049941004,372100
2024-06-21,258.43792724609375,261.5404422586261,257.0167148549082,261.5404422586261,910500
2024-06-24,259.3389587402344,262.36717440235367,258.2892997728024,259.02313691469266,368400
2024-06-25,256.0228271484375,258.68875950756166,254.95460026433136,257.9828164007258,204700
2024-06-26,253.80279541015625,256.6359227998889,252.78100200235056,253.31975033680325,292100
2024-06-27,253.9420928955078,255.0939171316006,251.38762386708711,253.9327948459548,422500
2024-06-28,255.13247680664062,257.41010363320567,252.49867223355577,256.17286365183975,649500
2024-07-01,255.71356201171875,256.2759463451244,252.24554912576346,253.2859644331722,366400
2024-07-02,255.8729248046875,257.71940266923247,254.88877352732575,256.8102226322929,233500
2024-07-03,252.69549560546875,256.75398254194,252.58302444478085,255.51674256625458,176600
2024-07-05,255.16993713378906,255.5448791270665,251.58009924102797,253.1453705071348,268600
2024-07-08,255.9760284423828,256.6790017746464,253.72651949995105,255.60111505265388,275700
2024-07-09,258.6660461425781,259.62207949442194,254.48570643024786,255.78853535273925,273600
2024-07-10,259.05035400390625,260.33444733128545,256.3977853809627,260.19385839107184,180100
2024-07-11,260.9530944824219,265.0865813800512,259.87520768964805,262.92142566282536,308700
2024-07-12,257.12890625,261.89039533970526,256.8102284139269,261.89039533970526,371200
2024-07-15,258.778564453125,261.98413574139573,256.1166419455379,257.57882432852153,384400
2024-07-16,261.2717590332031,261.8622612177123,258.8347790577319,260.08140113704206,352600
2024-07-17,266.1737976074219,267.0735953445278,261.1967493618498,262.44334265367087,294600
2024-07-18,266.3238220214844,270.95404703593914,264.28049099093835,265.4333776317469,230100
2024-07-19,266.93304443359375,268.6201690064513,264.12115107612556,267.72975327235474,347900
2024-07-22,271.9382629394531,272.4537653781555,266.6425351623517,266.9330952429387,465400
2024-07-23,272.8099365234375,273.7191166707176,271.1790472587742,271.9757562297414,254200
2024-07-24,268.0296630859375,274.0377452417404,267.4954250945551,272.95985852389157,232100
2024-07-25,264.99285888671875,271.1227950567088,261.2905208036005,268.34837272537413,282600
2024-07-26,268.7607421875,269.47309761623586,265.0490511825131,266.59558671758623,234400
2024-07-29,268.0671691894531,268.92949574605814,264.46794909156426,268.92949574605814,458000
2024-07-30,263.1932067871094,269.52934897184053,262.40588007959593,269.10755352664546,577000
2024-07-31,260.90618896484375,270.33543068189,255.97602223161587,260.3438331959239,1436200
2024-08-01,267.7765808105469,267.9077876137564,260.5781413769075,262.7245325038394,829100
2024-08-02,263.9992980957031,270.785324919688,261.33737581334407,267.7672249016509,590000
2024-08-05,255.52615356445312,264.2992769419796,255.49803577110467,262.4621524296731,514600
2024-08-06,262.8089599609375,265.57397147777436,254.94501720756395,254.94501720756395,564300
2024-08-07,260.0345458984375,266.20198201253163,259.6596324644887,262.49026178547274,365200
2024-08-08,261.7778625488281,263.2962801296299,258.9940874493404,261.1123606379899,240600
2024-08-09,264.9178466796875,265.4989667012157,260.2969470873555,262.27466019074603,270900
2024-08-12,263.9337158203125,264.7210426345396,261.7123243437321,263.4182134099219,250800
2024-08-13,266.6236877441406,267.8421918800646,264.8803278043229,266.2862743121972,183800
2024-08-14,268.2171325683594,270.419788042698,265.01156161786645,266.73618607750285,220500
2024-08-15,267.1298828125,268.9107429771047,266.17384931884317,267.9640916150913,321800
2024-08-16,266.2019348144531,268.08588378233816,263.6243660824783,267.98279476300627,375400
2024-08-19,267.51416015625,269.27628454173805,265.9207425045066,266.52998033462336,160300
2024-08-20,269.13568115234375,269.96047911884773,267.28920349908446,267.52352792917293,294000
2024-08-21,271.0758972167969,271.60078171290735,268.24526806962535,269.1357124491305,230300
2024-08-22,272.1350402832031,272.4162467861176,269.3512646682975,271.8163624631472,258900
2024-08-23,277.5245056152344,277.7025944877702,270.94468527500106,273.2972833314507,300500
2024-08-26,276.1466979980469,279.4928583087879,274.5251909653813,279.4928583087879,181300
2024-08-27,277.009033203125,277.1308865084588,273.6909905821356,274.30022850474234,325500
2024-08-28,277.5245056152344,279.0429234934375,275.6967920449769,278.37745005631155,341400
