Price,Close,High,Low,Open,Volume
2024-05-30,157.60992431640625,159.7208075972414,156.69004385205093,157.32910952488152,778900
2024-05-31,158.6556854248047,158.6653630889699,156.33176059495054,157.52276338990316,1398400
2024-06-03,158.02627563476562,158.80091721031556,157.37751756307205,158.13278903609196,624000
2024-06-04,157.86167907714844,159.01395647954607,157.51309107957488,157.56150895216626,528700
2024-06-05,158.80091857910156,158.95584985055882,157.53245019104625,158.2683515678793,506600
2024-06-06,158.71377563476562,160.79561104004185,158.2102563889323,159.06236360879495,390200
2024-06-07,158.08436584472656,159.37220428101784,157.88103148771452,158.12310604848224,324300
2024-06-10,157.4646759033203,157.83263401124321,155.934762708609,157.73579826440226,527100
2024-06-11,156.3995361328125,156.86431515180143,155.12137536176968,156.85463748840576,870800
2024-06-12,158.98489379882812,160.22431439060114,157.69705533900512,157.91975980196432,588300
2024-06-13,156.79652404785156,159.66269328693716,155.46028254809303,158.81058612327905,809600
2024-06-14,154.47262573242188,156.01221647459127,153.6398886081881,155.43124636295386,561600
2024-06-17,155.9513702392578,156.48645275906105,154.08345795227422,154.58934065749978,605200
2024-06-18,156.36000061035156,156.70051177351525,155.2120038459895,156.14596756690864,501500
2024-06-20,155.6206512451172,157.00212805521403,154.88125883629604,156.01951758451276,539800
2024-06-21,157.0701904296875,157.08965202736007,154.95905985012124,155.9513935035303,1329100
2024-06-24,157.88742065429688,159.05487915426605,156.78808517777972,157.14804313652104,423800
2024-06-25,155.9611358642578,157.7901403020292,155.54280795489805,157.53718403604302,395800
2024-06-26,156.78805541992188,157.07991998951923,155.38711736173352,155.8346301695806,609400
2024-06-27,157.61502075195312,157.6636673312241,156.24328222356272,156.79781166166697,476700
2024-06-28,158.50030517578125,159.50236215272733,157.03127379327987,157.49824819883514,1139700
2024-07-01,156.7296905517578,159.91097141335584,156.70050557833758,158.57814147766828,754500
2024-07-02,157.10911560058594,157.5177200877513,155.94165724314246,156.36972332822512,808000
2024-07-03,156.77833557128906,157.0410151991937,154.58937331006805,156.60322571591956,442600
2024-07-05,157.53717041015625,157.80958825262167,155.7470893272977,157.1285659137331,819200
2024-07-08,157.14804077148438,158.90893702780647,156.57404975271055,158.22792947630776,545900
2024-07-09,157.10911560058594,158.43222220681884,156.661587917586,157.1577473281047,744300
2024-07-10,159.01593017578125,159.07430012234713,157.1285560642896,158.38356929485218,614000
2024-07-11,162.23614501953125,162.66421111598345,159.3564519349711,159.3564519349711,857900
2024-07-12,164.2208251953125,166.04009140208842,162.95608840587872,162.95608840587872,734200
2024-07-15,165.5050048828125,166.20547401617932,163.74410867207266,164.47376278225883,900800
2024-07-16,169.0268096923828,169.23110452714909,165.83579028447062,166.36113470443453,661100
2024-07-17,168.30686950683594,169.77590100058202,167.89826501542674,169.0268001887568,611500
2024-07-18,166.43896484375,170.26234516757356,165.5731092467239,167.82044147918208,826000
2024-07-19,165.4563751220703,167.11997819999323,164.6099662496743,166.43897065801158,666700
2024-07-22,168.04417419433594,168.1220057346946,165.7481957107249,165.7579339313,532500
2024-07-23,167.43130493164062,168.28742233925956,167.1394403142212,168.07338927614205,341000
2024-07-24,168.15121459960938,169.71753931537413,166.92540106569152,167.91773479020628,912900
