Price,Close,High,Low,Open,Volume
2024-05-30,240.6812286376953,242.0320821212203,237.70169371083333,238.30526965425452,189200
2024-05-31,243.74368286132812,243.90739672454103,239.77597650711851,240.43084665468896,347000
2024-06-03,241.12425231933594,246.24758119586474,240.58495608967186,245.74679982772517,196500
2024-06-04,241.20130920410156,242.6073294905817,239.67007520071442,240.10345190990603,202200
2024-06-05,242.26060485839844,242.63618718049887,239.19816664661317,241.1434829330211,188600
2024-06-06,241.36500549316406,244.04223650127787,241.17238710546795,241.7116980184093,221900
2024-06-07,239.9974822998047,241.22052374123288,239.40039179290147,240.95087565219998,217300
2024-06-10,238.77444458007812,239.86267675564284,238.3410825960447,239.84341197787782,170300
2024-06-11,235.50973510742188,237.32986698251773,234.90301958415054,237.19504294342613,255900
2024-06-12,234.29632568359375,237.6476915841069,233.16957867547484,236.0394280069772,222700
2024-06-13,231.3783416748047,234.0363226003741,230.29974923817932,233.1984737589699,281200
2024-06-14,229.64488220214844,231.1857263635035,225.91793406875084,229.52930823637547,303000
2024-06-17,233.08290100097656,234.40225165123385,229.28854821981028,229.49079163734,313100
2024-06-18,236.8387451171875,237.13729774934242,232.74585406393953,232.82289848242593,269800
2024-06-20,238.2158660888672,239.34261304249748,234.70080118296212,235.8853277709244,306400
2024-06-21,239.70855712890625,240.4404569480346,235.17266505210085,238.28325765179386,877700
2024-06-24,241.9139404296875,244.07114011925245,239.52562217337245,240.34420628320078,338400
2024-06-25,242.22210693359375,242.6843587404826,239.70858977313566,241.6828107097701,239300
2024-06-26,240.3345489501953,242.66508739419098,239.60264905120547,241.69242920931663,209300
2024-06-27,238.7551727294922,241.54797763388956,238.31218571705915,241.1916453820323,387000
2024-06-28,237.22396850585938,241.23019012072106,236.4150241494124,239.80489041301504,367500
2024-07-01,237.6669464111328,239.9011903894097,236.62688353266026,238.7937081364644,170900
2024-07-02,238.3314208984375,239.5929918734785,235.4712114947669,237.08911469938633,192500
2024-07-03,237.02171325683594,239.83376828056817,237.02171325683594,238.05216577680667,118200
2024-07-05,234.08447265625,236.70390928085084,232.89993131252115,236.70390928085084,309200
2024-07-08,234.0170440673828,237.2528358817823,234.00741902645007,234.72005411816681,201300
2024-07-09,232.98658752441406,234.71042497800252,232.10059884834888,234.08445934976996,333600
2024-07-10,237.56101989746094,237.82104297289047,233.4585038043474,233.59332786295525,194100
2024-07-11,242.3954315185547,242.857683298112,238.29291574870544,238.29291574870544,195100
2024-07-12,241.66354370117188,244.7259820987825,241.56723450721236,244.7259820987825,228700
2024-07-15,246.07423400878906,248.11587427427233,241.89465897988663,242.56879393903583,270400
2024-07-16,257.5727844238281,259.10400328667987,246.796443368622,246.796443368622,449900
2024-07-17,257.2646789550781,258.8921778717002,256.34978574536206,258.2373224107656,266900
2024-07-18,257.33209228515625,261.17461472516726,256.7735459623721,256.7735459623721,240700
2024-07-19,253.68223571777344,258.72852062414114,253.065880320949,258.72852062414114,367500
2024-07-22,256.2919921875,256.36902190071567,253.14285528155384,254.42370570557713,208700
2024-07-23,256.831298828125,261.36717648309207,256.64832018865536,257.3417051936356,282400
2024-07-24,255.49267578125,258.32399551408184,254.07701591483405,257.5054408710663,329800
2024-07-25,263.8229064941406,265.8260022361083,258.04470839802747,258.04470839802747,316800
2024-07-26,265.8260498046875,267.40543834051306,263.2932678170164,264.3911397586669,297100
2024-07-29,267.1068420410156,268.40694258215564,266.0860293232464,266.7601642377449,309200
2024-07-30,269.4181823730469,270.4774954009034,266.4713030782078,267.72323450537,307500
2024-07-31,269.6300354003906,272.39393587428555,267.0490841890749,269.1196289998745,301900
2024-08-01,257.1298522949219,275.24450358297076,251.13014516117545,272.73100115623225,623600
2024-08-02,253.61476135253906,259.01736269354114,251.07233997599462,255.89714499454257,344800
2024-08-05,246.5653839111328,251.3324099081276,243.3584816582193,249.07891579355706,392700
2024-08-06,247.06613159179688,251.0338526756974,246.41127613317335,247.1431906983632,316000
2024-08-07,244.0711212158203,249.6470913223349,243.89776760946341,247.95214359226534,306800
2024-08-08,247.07577514648438,249.6470865106355,244.50447847705254,244.50447847705254,200900
2024-08-09,249.8396759033203,251.49609404950908,247.6054320057748,247.6054320057748,185000
2024-08-12,253.9807891845703,255.51200864339395,248.56851721515352,250.25382553259047,374700
2024-08-13,253.0561981201172,255.9741872492242,250.88937363644055,255.20377252191437,176900
2024-08-14,256.7735290527344,258.2277184887434,252.77694742713695,252.87322722892281,298600
2024-08-15,259.66265869140625,261.04942891610796,255.92608499648452,258.6322060652355,278200
2024-08-16,260.56787109375,261.45384508145366,258.26620789395565,259.93226572547337,208500
2024-08-19,260.88568115234375,262.87916687746895,259.07517408156957,260.21157556370747,185600
2024-08-20,265.0556335449219,265.3060021876896,258.90183739844326,260.5775057322906,305900
2024-08-21,261.40570068359375,265.73934952862754,258.9018088063535,265.73934952862754,226500
2024-08-22,262.0509033203125,262.8213473768977,258.95957552737275,261.50199682995043,177000
2024-08-23,264.36224365234375,265.2674971790221,262.06058027998677,262.9080541678933,157100
2024-08-26,266.6061096191406,267.7135919298008,264.05407749733024,265.6141865910618,126400
2024-08-27,266.6734924316406,268.39732986562245,264.44888837865585,266.5290433482203,184500
2024-08-28,269.69744873046875,270.207855175165,266.9913276609266,266.9913276609266,214800
2024-08-29,272.4035339355469,274.87853610486155,268.4165921053636,271.6908988321016,187600
2024-08-30,273.57421875,275.2286302625037,270.15901665729166,272.5680611399221,384000
2024-09-03,266.49224853515625,273.757999733454,265.5344237226957,273.15816714845516,211000
2024-09-04,265.3506164550781,267.9725074014306,263.9864666904971,266.0568871846529,252400
2024-09-05,262.1192626953125,265.6602418681954,260.6970663842787,265.6602418681954,280600
2024-09-06,260.4551696777344,267.23721098712275,259.54573650978006,262.63199873451435,203900
2024-09-09,259.0329284667969,261.97407414797016,258.7814038966226,260.8034323258265,287400
2024-09-10,252.38638305664062,259.9133727022292,251.4189035159473,259.81661884313337,473300
2024-09-11,249.2421112060547,252.8991832267249,245.2754533633655,252.53153622316947,374600
2024-09-12,249.88064575195312,251.38022741698805,247.40390018091318,249.17437497012008,322200
2024-09-13,253.04429626464844,253.49901289124787,248.6422755694845,250.62559708595694,350600
2024-09-16,256.58526611328125,258.8975566164384,253.57641861601704,256.0725030869733,360700
2024-09-17,256.7787780761719,259.53610099042817,253.8570001550903,254.1472322407443,387400
2024-09-18,260.2713928222656,261.81936633387323,256.353111628166,259.25555089050323,373200
2024-09-19,259.3135681152344,263.51242623227733,259.0910371677953,263.15446348758434,360200
2024-09-20,258.81048583984375,261.2872313360925,257.7752755474294,259.27485716718087,2262400
2024-09-23,259.41033935546875,261.54846124744074,258.9072310102017,259.15878518283523,272900
2024-09-24,248.95187377929688,258.5782787037223,247.98439411703484,258.5782787037223,563500
2024-09-25,248.66159057617188,253.576403367824,248.25526568737615,250.49014115115355,390100
2024-09-26,251.89297485351562,252.46381380047134,248.70030397888502,248.90346642814552,398000
2024-09-27,254.5148468017578,255.36623351137152,248.21654561938863,251.8736170583151,233400
2024-09-30,255.7823028564453,256.52725164021757,252.9959564325162,254.5149067369016,245900
2024-10-01,256.0434875488281,258.8395179539623,251.1480428038052,255.5984551697723,349300
2024-10-02,253.0152587890625,258.1235499854188,252.66698029903438,256.5175598034426,239000
2024-10-03,249.07765197753906,252.54121619292536,248.49715827254875,252.54121619292536,275700
2024-10-04,249.89996337890625,251.17704350887726,247.52965612606948,250.41272637463396,247600
2024-10-07,248.0424346923828,250.46113379106797,247.34584817095606,248.81640659390786,184900
2024-10-08,249.52268981933594,250.9835935959333,247.07496739024842,249.60975944822005,267900
2024-10-09,249.6871337890625,251.34154524010037,248.052120352147,248.8357765025815,167900
2024-10-10,244.62722778320312,245.4882840543638,239.2190054887102,241.0282024163689,351600
2024-10-11,250.95457458496094,251.15773705575626,244.8110577971524,244.8110577971524,227800
2024-10-14,252.35736083984375,253.36354783314283,249.57101502771243,251.30281167937355,179700
2024-10-15,250.896484375,254.002115306275,247.8199061773243,252.9378817873865,302400
2024-10-16,252.18324279785156,253.2281078026305,250.70300015141933,250.81909298249087,246700
2024-10-17,253.35391235351562,253.45066623161293,250.13221784135652,252.76376388985702,170300
2024-10-18,253.0249481201172,254.36007474233617,252.42511546958642,254.36007474233617,205200
2024-10-21,252.744384765625,254.89219085841407,251.32218844033036,254.27301920989004,185700
2024-10-22,248.74867248535156,252.21226608073772,247.1910444594527,252.21226608073772,175700
2024-10-23,247.67478942871094,248.90347795034359,244.8400811513602,248.64226907491684,196100
2024-10-24,246.41705322265625,249.1840454922362,245.7881973824383,246.85241609377383,172400
2024-10-25,245.57534790039062,250.0644526403769,244.3369751971232,248.8744421069102,274100
2024-10-28,246.86209106445312,247.71347781159278,244.9851783332953,245.93330418006744,241000
2024-10-29,245.50762939453125,249.7258412371284,245.01422009011802,246.6202398437941,320200
2024-10-30,242.34397888183594,249.72583845213094,241.98600137864102,247.4232469613137,726900
2024-10-31,178.94505310058594,210.21398955399934,178.29682870584145,208.00813700306537,2606200
2024-11-01,183.07615661621094,185.33038580698056,178.99339161147861,179.09981495568033,1492500
2024-11-04,184.8273162841797,186.8686990515312,182.1667470963436,183.04715717060768,849600
2024-11-05,186.9557647705078,187.62331329949296,181.77974296251304,184.78860513399331,624400
2024-11-06,196.6015167236328,202.72564899975623,193.5055704973117,199.30077804728805,963200
2024-11-07,191.38682556152344,197.7721821975541,190.3903079711162,196.6595865393073,795800
2024-11-08,196.06942749023438,196.66926014333336,192.55747167113523,192.55747167113523,431700
2024-11-11,199.91030883789062,201.4679515404938,197.7625030054175,199.0879452960407,505200
2024-11-12,197.94631958007812,201.41956758199595,197.35615647079845,200.66493472259782,477500
2024-11-13,197.36585998535156,200.73268522805301,195.58570086967666,197.37552946788492,420900
2024-11-14,188.977783203125,197.62705278470588,188.3295736729426,197.13362876373483,541100
2024-11-15,187.26536560058594,190.41935882398656,186.00763905667228,188.65853870999376,493400
2024-11-18,189.91624450683594,190.68054687950783,186.45266583892203,187.69103852031878,520300
2024-11-19,185.37875366210938,190.53542133764978,185.1852607082799,190.10972798168532,584100
2024-11-20,184.06298828125,186.08501704050897,182.92136947413155,185.50453815576907,521700
2024-11-21,188.94876098632812,189.23900780678892,183.82111636674253,185.65932162538334,564200
2024-11-22,192.4800567626953,194.2408766593917,189.10356252435406,189.62599499462627,659000
2024-11-25,192.41236877441406,195.7598402922426,191.59967460131026,193.7184575207949,939600
2024-11-26,191.5416259765625,192.97350655491445,190.1000906783491,191.5803334314199,573800
2024-11-27,192.8863983154297,194.89875760472904,191.9963188771454,191.9963188771454,595600
2024-11-29,192.7890167236328,194.88328791818972,191.79545557488123,193.06175666827644,271700
2024-12-02,189.78884887695312,192.88641640243716,189.51610895184274,192.88641640243716,537800
2024-12-03,186.89584350585938,189.91548321156742,185.7269559905957,189.84729079876487,471300
2024-12-04,187.8991241455078,189.76936184812018,185.5613493120572,186.5451600390191,558700
2024-12-05,183.98338317871094,188.70764038397834,183.71064323075876,188.22060263931908,685100
2024-12-06,183.07748413085938,186.3795994250293,182.89240741090094,185.07434184445518,608900
2024-12-09,188.24008178710938,189.0485661988102,183.00930134697612,183.02877215457474,824400
2024-12-10,186.02891540527344,188.40566175523458,183.6424336520853,188.0744796869839,536100
2024-12-11,186.55491638183594,187.35365044505357,182.88264812724898,186.3016472767683,696100
2024-12-12,185.9022979736328,188.4056640488649,185.0743279297154,186.1458168261719,511100
2024-12-13,187.1588592529297,188.3569679131954,185.366563964478,185.366563964478,523700
2024-12-16,193.12994384765625,194.00660580834497,187.11014983110155,187.158856576298,752800
2024-12-17,188.47384643554688,192.84743528202918,188.19135625823105,191.3571011728291,481100
2024-12-18,189.3992156982422,200.77640878802737,189.1946533324821,190.91877088430977,988200
2024-12-19,182.74627685546875,190.42199536328823,182.53197908959083,189.38946300805355,716200
2024-12-20,185.5126495361328,192.80847934102732,185.44447198972995,186.17502851050483,2470400
2024-12-23,185.47372436523438,188.61024874619184,183.6911643701029,185.26916196507932,606800
2024-12-24,187.47056579589844,187.48030119954606,184.87952155730923,185.07433367274345,142000
2024-12-26,186.85690307617188,189.3018272059158,186.71078283470854,187.12964302438186,359500
2024-12-27,185.4834442138672,187.42185969767104,184.18792209010422,185.61007877778147,332400
2024-12-30,183.5255584716797,185.35681020440947,181.52870083339195,183.37943823675417,366100
2024-12-31,184.07102966308594,185.88281050295328,182.47354660043382,183.99310184744303,342700
2025-01-02,182.74627685546875,186.03865629194752,182.23975351219272,184.9184607224565,328600
2025-01-03,183.20411682128906,184.04182232294445,182.4345888739016,182.98981902808336,403700
2025-01-06,181.85986328125,185.376275858513,181.47023908994296,184.38271484850688,493000
2025-01-07,184.14895629882812,186.14581383015152,182.48328083445682,182.99953960447363,469800
2025-01-08,184.74313354492188,185.80487210406034,181.4215330504914,184.07101917859433,342100
2025-01-10,185.09381103515625,185.4639495789038,182.16183457875263,183.13590997541328,370200
2025-01-13,190.08108520507812,190.80190639826404,184.13921893706296,185.61008239826012,464000
2025-01-14,192.3116912841797,192.42859043441976,188.1329145275558,190.07132984565624,429500
2025-01-15,193.5487823486328,195.25341432806024,191.5908961115894,195.17548651112963,346300
2025-01-16,195.80862426757812,197.07492515156048,191.55190502785896,193.0519893385366,411100
2025-01-17,197.29896545410156,198.7795641503441,195.380035822248,197.2502587138758,640700
2025-01-21,203.2018585205078,203.81553074470577,199.1984082539801,199.4808835645033,549100
2025-01-22,199.8510284423828,202.2959521059432,199.54906747609877,202.13036108776194,590100
2025-01-23,198.8477325439453,201.79917953461606,194.68842682203655,200.98095984404014,482200
2025-01-24,197.4645538330078,198.9061811724586,196.60736277879974,198.4288937689919,337900
2025-01-27,197.72756958007812,201.243982346969,196.41256185288535,198.0782373164488,414300
2025-01-28,190.6947479248047,197.93212111512932,188.76606790393336,197.93212111512932,495100
2025-01-29,187.88938903808594,191.93179569571217,186.9640204510256,190.24664954342668,559700
2025-01-30,190.43173217773438,190.73369316010715,185.93150878735744,188.2595482946438,469300
2025-01-31,192.14608764648438,193.08120647098352,189.1946406869979,191.04539266836653,388500
2025-02-03,191.46426391601562,192.7695214234996,186.6425935158662,189.9934153692131,549600
2025-02-04,190.6850128173828,192.41886600276027,189.7109373261275,190.57786391881623,395500
2025-02-05,190.50967407226562,192.74030026351443,189.0875174069721,192.2435271457808,645700
2025-02-06,155.60853576660156,170.46318472084678,154.7610949759309,166.75196004875227,2389500
2025-02-07,164.12196350097656,165.5538554757229,157.76125256040586,157.81969470415706,1683000
2025-02-10,163.9076690673828,168.51504147312826,163.1576268598207,164.85252337915028,801300
2025-02-11,163.42063903808594,163.8492346053612,161.2581903946237,163.1576345103104,567300
2025-02-12,159.2515869140625,163.56673365045023,158.63791467734774,161.91080850114224,721300
2025-02-13,156.6508026123047,161.43350121426778,156.52416806244398,160.72243038094786,787100
2025-02-14,157.0891571044922,159.154192369587,155.2773761138975,157.78074237314007,848000
2025-02-18,165.31033325195312,167.01496510479765,160.42047086095167,160.72243183962763,1212100
2025-02-19,169.2650909423828,169.99564751190294,166.4110422152542,166.56689785058927,1098800
2025-02-20,173.27825927734375,175.2264099308023,169.274809089958,169.82028889481282,903800
2025-02-21,165.8752899169922,173.6678929568327,165.78762669996456,172.92760101880373,830200
2025-02-24,164.43365478515625,168.25202831156463,164.38494804580515,167.21951083544528,820600
2025-02-25,170.93075561523438,171.34961578714123,164.45315982518397,164.6187508679154,1143000
2025-02-26,168.7001190185547,172.06067613835157,167.61889474211108,171.23270611232135,727900
2025-02-27,169.76185607910156,171.32038263276922,168.10593090533638,169.11896276097283,769500
2025-02-28,172.36331176757812,172.5301955076867,168.4169554485487,169.98764885311792,2520900
2025-03-03,169.51644897460938,175.68141147403352,167.72979965112424,175.35745536488227,1292300
2025-03-04,169.14341735839844,172.43203540575962,164.6276846919028,166.93463800659498,921700
2025-03-05,190.04336547851562,191.6729573408105,177.69383331815166,183.08326014884076,1782600
2025-03-06,190.37713623046875,191.83984436984602,183.95695761033133,188.39415402986205,1177900
2025-03-07,192.37974548339844,194.2154814759424,187.0001456632873,188.39412884758568,929100
2025-03-10,193.4203338623047,200.52769968643653,189.61141215256237,189.79793367658985,1039600
2025-03-11,191.43734741210938,193.2927213927087,186.86273152558076,193.2927213927087,946900
2025-03-12,188.21743774414062,192.26196814483785,184.56558819650488,190.80907145737476,498700
2025-03-13,191.9281768798828,194.5099990706954,188.06037176435774,188.06037176435774,755100
2025-03-14,192.56626892089844,194.54925087625173,191.26063328935896,192.801862432054,790800
2025-03-17,203.33531188964844,204.9747151172482,193.00803771693015,193.00803771693015,1200800
2025-03-18,204.74891662597656,206.15271123146917,200.69457517840036,202.65793433298577,681700
2025-03-19,203.62982177734375,207.37984558337376,202.92302614371565,204.27773400235063,518800
2025-03-20,198.01461791992188,202.6285094917523,197.10164801413197,202.49107493358693,651200
2025-03-21,197.77899169921875,199.79143789021683,195.36405327417265,197.82807867543667,1446100
2025-03-24,202.11802673339844,202.94263406149128,197.55322225787313,198.58397392836767,525500
2025-03-25,202.471435546875,203.83596971333026,200.46881557524205,201.72536437690258,557400
2025-03-26,199.54603576660156,203.3549427967389,198.73123982236584,202.5892338330944,438200
2025-03-27,199.42820739746094,201.12652391307518,197.07218231786084,199.840526016671,350500
2025-03-28,201.5584716796875,202.05912290555935,199.0846347828212,199.15334456868945,560200
2025-03-31,200.30191040039062,202.89354409281532,198.58397100255345,200.27246120905284,666700
2025-04-01,198.49562072753906,201.52900722799694,197.18017360154178,200.67495073233704,549800
2025-04-02,201.17559814453125,201.66643795650256,195.30515818754205,196.3359247885303,500100
2025-04-03,195.57020568847656,203.13894680627016,193.61665794610838,198.79011348887056,690700
2025-04-04,181.56166076660156,192.340499871206,181.21808185300233,190.58329976764347,855800
2025-04-07,179.95169067382812,186.61730375343046,174.1695982492387,177.9588822222132,826300
2025-04-08,184.10418701171875,192.08524701457296,181.0806270021541,189.45435285633715,822800
2025-04-09,196.41445922851562,198.82938269379991,179.44121029144895,179.52957284105082,1009100
2025-04-10,197.20962524414062,200.03686744318668,191.74167735637323,193.25345743382587,836700
2025-04-11,211.78758239746094,214.77188207383682,203.56110177532148,204.83728837229378,1474100
2025-04-14,215.9204559326172,217.41261333240348,209.5002770204513,212.72018537103366,1152000
2025-04-15,213.9865264892578,217.45185446475344,213.42697687645668,214.6540764422623,722800
2025-04-16,211.650146484375,214.50682298898914,209.73585911155217,212.27842088481248,614800
2025-04-17,215.45904541015625,216.35237748676715,209.6671414662527,210.12853210013995,793500
2025-04-21,213.86871337890625,217.4812870345025,211.41451443486264,214.32029257547657,478000
2025-04-22,213.24044799804688,215.58666168785288,207.61542797640593,211.28690016407128,871300
2025-04-23,213.93743896484375,217.19662259334308,211.5127040099027,214.98784338052943,793400
2025-04-24,217.834716796875,218.17831067940602,213.03430372125376,215.7437492471153,824400
2025-04-25,221.90869140625,222.24245889753797,218.2862910434823,218.2862910434823,570300
2025-04-28,224.1665496826172,228.0932682057776,221.39820593375273,227.7496743433041,679100
2025-04-29,226.1495361328125,227.59260641636905,222.89036748465756,222.89036748465756,503800
2025-04-30,226.12008666992188,226.73854964191509,222.25226645764928,225.80595697156716,748800
2025-05-01,223.3125,233.6397749174293,217.9525370814473,233.5023403548829,1063300
2025-05-02,225.8059539794922,228.5841091458058,219.42503634796242,225.9531999331382,669000
2025-05-05,228.9080352783203,230.13513474262018,224.74572348212968,227.36680614036524,604200
2025-05-06,228.6331787109375,229.4970615744467,225.24638699994145,226.91523936688594,504600
2025-05-07,225.9924774169922,229.9290073965719,225.94339043894783,227.3668229267789,429000
2025-05-08,228.68226623535156,230.33149579879418,225.2856631125019,227.23919598455515,522300
2025-05-09,227.38645935058594,230.95977263385078,226.00228746594337,230.69471493739437,329300
2025-05-12,225.53106689453125,231.28370969968046,223.5087944238597,230.6946959735833,530100
2025-05-13,221.5945587158203,225.52127759075955,220.6128789970855,225.1776986767486,478900
2025-05-14,219.0225372314453,221.55527240940017,215.68483256674062,221.30002612543106,522300
2025-05-15,223.9800262451172,224.84389412695722,220.21038009006355,223.19467955133712,385700
2025-05-16,225.83538818359375,226.2182426169093,222.8609002833942,224.81443304192464,311300
2025-05-19,225.14822387695312,228.01472653213622,223.5775305139181,225.34455680252196,518400
2025-05-20,223.84259033203125,225.78631177837028,222.55659243118973,224.24506759054253,420400
2025-05-21,219.28759765625,223.83276409743664,218.7869314648252,223.83276409743664,453200
2025-05-22,220.3772735595703,221.96758982474796,216.69597481296063,218.47281261131204,551600
2025-05-23,220.6226806640625,221.49637491668452,217.2947873895537,218.12920606944996,256700
2025-05-27,223.66587829589844,223.84258841454763,220.8288248278949,222.84127102018107,366200
2025-05-28,221.46694946289062,225.0402630225646,221.12335557130433,224.46106060709826,315800
2025-05-29,219.5821075439453,221.01536649314403,218.1390521695428,220.39690349036906,1057900
2025-05-30,220.30307006835938,221.1820694409251,217.10312474675675,218.99939254812784,590900
2025-06-02,220.04629516601562,220.7475114458609,217.21175682817298,220.14505016884877,446300
2025-06-03,225.14251708984375,226.1992845042235,219.4339415896565,221.41910848156664,491400
2025-06-04,222.01168823242188,226.1597901432257,221.97218924564532,226.1597901432257,463400
2025-06-05,222.00181579589844,223.098097281666,220.00677789734362,222.6734191282681,484300
2025-06-06,223.69068908691406,225.21164873638818,222.21909940337187,223.18698281667358,313000
2025-06-09,225.25115966796875,226.26842810328472,221.40922393531318,224.2042481552289,483400
2025-06-10,220.5401153564453,224.81660031060395,219.57223193572636,224.7178302375889,443400
2025-06-11,223.35487365722656,223.48327173354355,212.39207410103867,220.01665930475548,548100
2025-06-12,226.2881622314453,226.46594533885226,220.72775706143491,222.03143454490115,329200
2025-06-13,229.85354614257812,232.97449342437892,227.1572920694093,230.2683533022813,455900
2025-06-16,226.4264373779297,231.83871773279637,223.94746534775243,231.83871773279637,546600
2025-06-17,231.18687438964844,231.57205355575152,224.1943783148412,227.1572996141563,544700
2025-06-18,231.3152618408203,236.33246174870922,230.24860841364978,233.51769568580028,524300
