Price,Close,High,Low,Open,Volume
2024-05-30,119.88123321533203,120.44518498878524,118.48522792356037,118.48522792356037,2681000
2024-05-31,123.23721313476562,123.57003737280645,119.57614651631653,119.8812365767628,4228800
2024-06-03,124.70719146728516,125.26190327965993,123.65325030929903,124.45756974102578,2184300
2024-06-04,127.01847076416016,128.17410865018203,125.10474176049998,125.4930343973744,3553400
2024-06-05,126.50996398925781,127.21260072306251,125.24338961349646,126.80581400494509,1593400
2024-06-06,126.65789031982422,126.90751200980408,125.65017764381282,126.58392781512998,1791200
2024-06-07,125.44523620605469,127.12430978705673,125.37060913204805,126.63924092284303,2185200
2024-06-10,126.36871337890625,127.01235935191217,124.46575882970119,124.95082762921619,1938800
2024-06-11,126.53663635253906,126.59261733588843,125.38927528292076,126.20082162074107,1910800
2024-06-12,126.10755157470703,126.63924994359715,125.05346365055959,126.63924994359715,1908700
2024-06-13,130.06268310546875,130.17463083780711,128.8500322466895,129.48434105074884,3493800
2024-06-14,130.11863708496094,130.5384018515523,129.12983919508486,129.5216348264705,1736300
2024-06-17,131.01416015625,131.5925164429124,128.92465894093144,129.22315301440858,2006600
2024-06-18,132.15220642089844,132.27347720745323,130.69701391688267,130.9022348324398,1433100
2024-06-20,130.70631408691406,132.64657516388468,130.29587232763942,131.52719760546336,1752900
2024-06-21,130.09999084472656,131.5738434435344,129.9973804032381,131.15407863150276,3481100
2024-06-24,130.31454467773438,131.58317648998178,130.05335703112397,130.55708623077206,1468500
2024-06-25,129.12054443359375,130.49178674284136,128.9060004807684,130.4078366178653,1617300
2024-06-26,129.82015991210938,130.1000079013724,127.7959484225074,128.51422160709518,1818400
2024-06-27,129.98806762695312,130.35186572394375,129.19516740429341,129.8481365227818,1421900
2024-06-28,128.91531372070312,130.2865559256341,128.79405718284883,129.7268742347116,4428300
2024-07-01,128.5608673095703,130.8089458386042,128.55153002846504,129.7921785543461,2052800
2024-07-02,128.71942138671875,129.50298424109954,127.77726711865022,128.7287444324884,1726800
2024-07-03,128.28099060058594,128.76604516503383,127.61868430507785,128.3929240795113,736900
2024-07-05,128.999267578125,129.26979250185474,127.4881084650796,128.29965476895077,1221400
2024-07-08,129.92276000976562,130.1279809032879,129.01792631568804,129.1765035091082,1348600
2024-07-09,130.06268310546875,130.61305601917852,129.23247644506196,129.74552870343908,1875300
2024-07-10,131.331298828125,131.349959153501,130.09998779280602,130.43580248128535,1298500
2024-07-11,131.54586791992188,132.20816007241348,131.0328156818699,131.58317434011704,1396800
2024-07-12,132.02159118652344,132.8424747156895,130.9581803572211,131.72309714279092,1478800
2024-07-15,131.53652954101562,132.65592140874662,131.49922312113208,132.0309214480113,1863300
2024-07-16,132.88914489746094,133.0663682096161,131.48991909406368,131.5738692261889,1917000
2024-07-17,133.9058837890625,135.19316157586942,132.83313569412252,133.14096701352315,2296300
2024-07-18,134.38162231445312,135.83681463906183,132.92642998984442,133.13165088010038,2316500
2024-07-19,133.98049926757812,135.47299780487833,133.70997438893457,135.3330809598259,4086100
2024-07-22,134.45626831054688,134.6801495587883,133.19695941888742,133.85926588223037,2620400
2024-07-23,126.75119018554688,131.2007174370091,126.49932558693193,130.46379820196577,5074500
2024-07-24,131.07012939453125,131.12611037842711,125.62248078876837,125.71576819493505,3581800
2024-07-25,131.59251403808594,133.2995567913121,131.11676821148848,131.5272100094709,2704900
2024-07-26,132.2827911376953,132.93576026325422,131.5645179827508,132.16152035949887,2064500
2024-07-29,131.38729858398438,132.1242178546033,130.41716079697483,131.89101357187252,3083100
2024-07-30,127.21759796142578,128.6914506562849,126.31276425487519,128.0104839394563,3517800
2024-07-31,125.97693634033203,127.02168680601946,125.03478207841401,126.89109299780853,3375600
2024-08-01,129.176513671875,129.48434503637657,126.43402900055193,126.97506465025226,2497300
2024-08-02,130.6876678466797,132.62791468778946,128.25301489889017,130.7063139385107,2401700
2024-08-05,128.40225219726562,131.62980522579906,127.66533304246744,130.72497161232252,2547200
2024-08-06,129.7362060546875,131.34997567811888,129.4656811205039,129.53098515070667,2077300
2024-08-07,130.61305236816406,132.09622811883744,129.87611889936917,129.90410227325668,2392200
2024-08-08,131.7604217529297,131.79772817592539,129.80150005464336,129.80150005464336,2144200
2024-08-09,130.89291381835938,131.4619186350998,130.27725106212338,131.27535804542057,1485200
2024-08-12,129.0086212158203,130.1559823829186,128.4675855334204,130.1559823829186,2394100
2024-08-13,129.13917541503906,129.5869235468218,128.63544631233407,129.1764818286641,1777100
2024-08-14,131.35931396484375,131.56452063673657,128.28101461521544,128.72876284839384,2167100
2024-08-15,132.2548065185547,132.37607729560978,130.64103693050603,132.04026257224584,1875600
2024-08-16,132.88914489746094,133.08502853908644,131.8817006109756,132.43205934423324,1552600
2024-08-19,133.8219451904297,134.0085057605773,133.14097847058517,133.14097847058517,1311700
2024-08-20,134.54954528808594,134.67080183369353,133.60739089592036,133.60739089592036,1092500
2024-08-21,134.86669921875,135.89278949762874,134.18574671515253,134.77341181446124,1447300
2024-08-22,134.88534545898438,135.49167082255843,134.25102249012014,135.49167082255843,1420900
2024-08-23,133.96185302734375,134.9692971186056,133.02903600584108,134.87600972299208,1252000
2024-08-26,134.45626831054688,134.530895393294,133.56075755124184,133.83128250540778,1148400
2024-08-27,133.8965606689453,135.17452977863005,133.3648623218687,134.37230650090055,1265100
2024-08-28,134.195068359375,135.48236051007424,133.58874293881456,134.42827263399968,1467100
2024-08-29,133.59808349609375,134.43761330131423,133.0943542260325,134.35366316752442,1879200
2024-08-30,134.94131469726562,134.98795839540097,133.79393950450063,133.84058320263597,2421700
2024-09-03,137.45059204101562,138.07557772933134,135.25846637526368,135.25846637526368,1904100
2024-09-04,138.38343811035156,138.86849280890894,137.53457103738472,137.82374209366418,1853600
2024-09-05,138.1035614013672,139.27890571175783,137.43193201438453,138.85914090330817,1788200
2024-09-06,138.1788330078125,139.33572750103465,138.0471540764858,138.10358585392194,2160600
2024-09-09,138.4327392578125,138.83719080861732,137.68029662250518,137.97187029647526,1836500
2024-09-10,137.5580596923828,139.50504219541565,137.3135171974014,138.43278097791168,1498600
2024-09-11,134.68931579589844,137.12538312898963,133.92745811930385,137.12538312898963,2350400
2024-09-12,133.9180450439453,135.19721779820077,133.25963611672495,134.88682870872054,1977100
2024-09-13,134.99029541015625,135.1501902147965,133.09034442526345,133.34430175118658,1960400
2024-09-16,135.62985229492188,136.21301399738158,135.18778435115294,135.54520465086145,1650900
2024-09-17,133.2408447265625,135.39473878257476,133.00570276467823,135.0749491588745,1851200
2024-09-18,132.75173950195312,133.91804874753458,131.999282387124,133.09034448602995,1717300
2024-09-19,131.77354431152344,133.09973389931247,131.65126591438084,132.4789701068701,1553500
2024-09-20,132.3849334716797,132.74235387047221,130.97408160519643,131.47258144986634,5576100
2024-09-23,132.8175811767578,133.33488196895217,131.74533449254875,132.1215558599492,1776900
2024-09-24,132.66708374023438,133.51358897275662,132.0463055820248,132.25323163476133,1858500
2024-09-25,132.80816650390625,134.07793873656934,132.51659279096478,133.56062359170937,1683100
2024-09-26,133.72991943359375,134.20961818433784,132.02749405622225,132.06512480432096,1478700
2024-09-27,134.0685272216797,134.8680155884219,133.54181155264152,133.76755299019743,1689400
2024-09-30,133.823974609375,134.97146838069585,133.12794932699077,134.79275821684556,1962200
2024-10-01,133.94625854492188,134.62346848229245,133.05272204064616,133.88982677546184,1849600
2024-10-02,133.3348846435547,133.80516853820146,132.46016348843597,133.6264727138531,1587600
2024-10-03,131.7171173095703,133.033920929825,131.5854383827375,133.00570504206988,1436000
2024-10-04,132.51658630371094,132.80816000237863,130.32506178053424,130.85177741063387,1593000
2024-10-07,132.41314697265625,134.18141920603955,132.21563575199022,133.36311537892755,2037100
2024-10-08,133.5700225830078,133.81457938611834,132.15917094140121,132.7987644819306,1527300
2024-10-09,133.72991943359375,134.21901869539988,133.07152486111931,133.41954469736854,1249400
2024-10-10,132.67649841308594,134.33190701167862,132.26264626343777,133.77696107359964,1296500
2024-10-11,133.79576110839844,133.93684052872703,132.71411394741327,133.34429261142222,1384400
2024-10-14,135.00909423828125,135.22543516333,133.69230507328038,133.77695272990354,1366600
2024-10-15,136.59866333007812,137.8214043919748,135.37592226818145,135.44176890587977,1964000
2024-10-16,137.2664794921875,137.7085475464816,135.13138637378057,135.8556276640813,1819300
2024-10-17,137.4075469970703,137.93426267083038,136.77736829082698,137.18181990941642,2537200
2024-10-18,136.76795959472656,137.0313174158462,134.61405141608958,136.24124395248734,3915400
2024-10-21,135.63929748535156,137.4451860553842,135.4417719197875,136.76797604763115,2508300
2024-10-22,129.56321716308594,131.17159444961305,128.6132488318866,128.90482255968413,4180200
2024-10-23,128.7543182373047,130.30624927817533,128.19938671136183,128.8013494950121,2640900
2024-10-24,128.8671875,129.61024408978747,128.06771349115172,128.89540338549315,1835300
2024-10-25,127.46575164794922,129.07411454096453,127.28704147051961,128.52858349741516,2273900
2024-10-28,127.5597915649414,128.61323718692873,127.16475483866792,128.19938508742564,2036400
2024-10-29,126.51577758789062,127.77614942681822,126.42172941311647,126.7509195527159,1608800
2024-10-30,126.42171478271484,126.78853563131412,125.60341108051267,126.27122049818054,1636300
2024-10-31,126.20538330078125,127.06130346213595,125.9138095726535,126.37469297151974,3322500
2024-11-01,126.60983276367188,127.43753702441711,126.16776474731256,126.61923327502554,1678200
2024-11-04,125.79154205322266,127.86078833156166,125.6786641585283,127.0236835682003,1537700
2024-11-05,126.81676483154297,126.84498071886523,125.56580786985927,125.93262875697506,1414800
2024-11-06,123.81635284423828,128.1617717763302,123.0733105477181,128.05830873737912,2235400
2024-11-07,124.39009857177734,125.90441338933691,124.24901913458372,124.40891394737865,1879900
2024-11-08,125.66925811767578,126.40289981724281,124.343054140795,124.66284373251911,1703500
2024-11-11,125.34004974365234,126.59100653890414,125.16135393169452,125.39649586271348,1569800
2024-11-12,124.28663635253906,126.26183459781926,124.17377280204073,126.03609314489603,2525000
2024-11-13,124.33367156982422,125.57521372056785,124.1173449738475,125.57521372056785,1494800
2024-11-14,123.85395812988281,124.86977305245036,123.06388464074982,123.88218836699679,1543400
2024-11-15,126.11133575439453,127.18358250129502,123.6846690425827,123.75051567928652,3199100
2024-11-18,127.92662811279297,128.2182162019134,125.50937620127607,125.79154942666352,2038300
2024-11-19,127.5504150390625,128.5285993520707,126.87320499470015,127.65387808339362,1771300
2024-11-20,128.26524353027344,128.39692246589206,126.64746554871473,127.2682438246,1883400
2024-11-21,128.88600158691406,129.78895296945197,127.96424918218551,128.38750181228048,1618500
2024-11-22,130.19338989257812,130.8329834435584,129.31866874941318,129.57261171566572,1977600
2024-11-25,130.87059020996094,131.44433708544847,129.67606520323955,130.814158443835,4025000
2024-11-26,131.42552185058594,131.93343645010057,130.56961614357115,130.7859426979222,2305200
2024-11-27,130.92701721191406,132.24382056527534,130.72009117569905,131.54779532055906,1466800
2024-11-29,131.06813049316406,131.4913831386639,129.80775871617615,129.81717357953946,1213100
2024-12-02,131.26564025878906,132.0557137686568,130.14636227718026,131.45375094895866,2397100
2024-12-03,128.67906188964844,131.4443331626883,128.3968887155155,131.01166571542797,2187700
2024-12-04,128.66024780273438,128.66024780273438,127.3058423868298,127.96423689843424,2068200
2024-12-05,129.93943786621094,130.0993470244123,128.48156923489736,128.94243827888968,2201700
2024-12-06,127.85173034667969,130.73653970660092,127.63347641161924,130.1197149617167,2207200
2024-12-09,126.16260528564453,128.19335296902238,124.87203571715618,127.63347725028696,3423800
2024-12-10,126.2765121459961,127.13055951914933,125.24214786365229,125.46990058706498,2662500
2024-12-11,123.94209289550781,127.06412529417508,123.73332318716933,126.34293006160367,2094200
2024-12-12,124.20779418945312,125.16622638765419,123.46761596117976,124.31217904112225,1763100
2024-12-13,124.63481140136719,125.28958775700153,123.39169199216951,123.87565019947527,1621600
2024-12-16,124.65380096435547,126.24802654029467,124.60635067178188,125.47938103190997,2792400
2024-12-17,124.44503021240234,125.25164173996865,123.36323015790182,123.56251559311339,3378700
2024-12-18,123.71432495117188,125.27059882560374,123.36321888480333,123.65739039768452,3048400
2024-12-19,124.73919677734375,125.57427555095067,123.69536279013073,124.06545188665277,3447600
2024-12-20,124.61585235595703,125.55530156399833,124.35963235385637,124.87205787826102,5579500
2024-12-23,124.7297134399414,124.80563100899784,123.47709527020405,124.20778920255084,1705200
2024-12-24,125.43191528320312,125.86843764937562,124.26471352466007,124.43553166091696,619600
2024-12-26,126.33344268798828,126.4093602600441,124.99542263012269,124.99542263012269,1017500
