Price,Close,High,Low,Open,Volume
2024-05-30,433.941650390625,437.4791268818301,432.29925482798075,435.8464591126155,1257000
2024-05-31,438.0719299316406,439.19925662901,432.7754726363915,433.72784734123815,2867200
2024-06-03,436.6724548339844,440.6278109031771,436.1962675220236,436.54614181943276,1085600
2024-06-04,435.75897216796875,437.5665621645476,434.7482604219982,436.6336134456006,530700
2024-06-05,429.90850830078125,435.5548392256093,428.86864289918697,435.0494982131809,993800
2024-06-06,432.2506408691406,433.79584734856655,429.06303895742656,429.9376802173784,673500
2024-06-07,427.6441955566406,433.2905269898817,427.4303917133034,431.3468664715087,716600
2024-06-10,423.4944763183594,429.4226470402447,422.81421290765877,427.6053291366789,1013900
2024-06-11,417.71209716796875,423.7180011675377,416.8860355001664,422.0172981812001,1385000
2024-06-12,415.11724853515625,420.13189573930737,412.444715584709,418.11050204808276,1326200
2024-06-13,411.4923400878906,414.78682891371517,408.4116254260385,414.5632972996946,1393800
2024-06-14,412.1435241699219,412.16295009982014,406.8081851088915,410.19986349540056,1085600
2024-06-17,417.6732177734375,418.8977334203483,410.2970294856169,411.12309115761377,1033400
2024-06-18,413.83441162109375,420.6955596310054,412.9792260184786,418.16879535890536,963100
2024-06-20,422.2408142089844,424.4954378303521,413.57207540111284,413.57207540111284,863800
2024-06-21,419.91815185546875,421.31758986372535,414.9909651038117,419.5780053180065,1888800
2024-06-24,418.5381774902344,425.3701434621099,416.75971139396944,421.67717044672105,1077500
2024-06-25,416.4098205566406,419.40304456473774,416.36121125122304,418.77136085754466,724000
2024-06-26,419.3349914550781,421.0259961218506,415.0783705561559,418.2076648965309,779500
2024-06-27,422.65869140625,425.2729171131567,419.8209340682658,420.35545849269323,981600
2024-06-28,423.66943359375,425.7588628192296,421.72577298253043,424.019278267974,1103100
2024-07-01,422.7461242675781,428.09119020659347,421.02599554223104,425.2728886430569,719100
2024-07-02,425.0494079589844,425.1563247126858,421.44392589775765,422.4740636295367,504000
2024-07-03,424.7773132324219,426.1573253435219,422.60042279476215,424.6704261324583,304000
2024-07-05,422.4837341308594,424.7772390617937,420.30681441540514,424.7772390617937,436700
2024-07-08,418.1299743652344,423.84434110763493,417.31364049602087,422.89193676459945,727900
2024-07-09,411.7936096191406,418.2660021261354,411.74500031577975,417.88697412311393,910300
2024-07-10,414.23291015625,414.57305667031125,410.7829246828269,410.7829246828269,717700
2024-07-11,419.85009765625,420.9968799014412,412.697441188532,413.08616736040267,761200
2024-07-12,420.0638732910156,425.36035970803476,419.47107110885474,422.74613411524155,692100
2024-07-15,419.7529602050781,424.1553503195001,418.92689851066496,421.78408199238595,624400
2024-07-16,422.90167236328125,423.7665858988769,419.05323272084297,419.06293085636196,641300
2024-07-17,427.7704772949219,429.38368919639424,421.7159649658767,422.4642634820007,1140100
2024-07-18,427.22625732421875,433.3001960363729,425.117402411785,425.117402411785,891200
2024-07-19,425.6033630371094,430.0834864746556,422.5518016658925,430.0834864746556,720000
2024-07-22,425.7587890625,426.50708759134073,422.8529967847375,425.2728739938731,790700
2024-07-23,429.8404541015625,431.14273257309753,424.6897662821254,427.06103416901016,681200
2024-07-24,429.66558837890625,433.3877148707714,424.70924813778635,431.9202416925154,1301000
2024-07-25,457.31414794921875,459.5104640512167,446.00203009594674,447.94569051132095,2050800
2024-07-26,466.77008056640625,470.8032000320255,458.81078804803525,464.10727503870413,1164600
2024-07-29,463.8448486328125,468.94695722868744,461.8525789101568,467.49891005029275,877300
2024-07-30,473.0189514160156,475.2833028641482,461.6387977588787,463.1548505863635,745000
2024-07-31,470.6768493652344,475.59430822024376,469.24825766416836,472.83431377790737,1454400
2024-08-01,479.462158203125,480.7158275306202,469.7924650043398,472.115123881177,997800
2024-08-02,480.6186218261719,490.77425945427865,472.0179481343364,482.00836157611917,1045600
2024-08-05,478.75274658203125,492.55271850387436,472.59134628160257,483.46612928301,967500
2024-08-06,472.8245849609375,481.5419037592014,472.27063458341786,479.3358597003597,741500
2024-08-07,475.9538879394531,481.10457665021397,467.13938002806725,469.74387810604037,739800
2024-08-08,477.4796447753906,481.3669657691014,471.20160001685576,473.93247030021064,544400
2024-08-09,480.4145202636719,481.8916914378006,473.28129041068104,478.5972026001725,519100
2024-08-12,487.52838134765625,488.5293653487625,478.14049729307516,481.53217547643294,922800
2024-08-13,488.22808837890625,488.35443105735396,482.4651420831576,487.363145215937,781000
