Price,Close,High,Low,Open,Volume
2024-05-30,7455.31005859375,7477.330078125,7356.41015625,7356.41015625,18900
2024-05-31,7680.72998046875,7712.2998046875,7454.10986328125,7460.43994140625,43400
2024-06-03,7627.31982421875,7754.5,7596.75,7677.18017578125,17000
2024-06-04,7543.18017578125,7650.259765625,7508.39990234375,7588.85986328125,21700
2024-06-05,7644.0,7651.580078125,7460.35009765625,7550.0,17000
2024-06-06,7590.419921875,7666.60986328125,7494.77978515625,7651.7099609375,15500
2024-06-07,7497.669921875,7573.0,7480.35009765625,7498.2001953125,19300
2024-06-10,7544.2001953125,7568.52978515625,7430.0498046875,7468.1201171875,18400
2024-06-11,7494.77001953125,7535.0,7437.27978515625,7535.0,12400
2024-06-12,7655.06005859375,7929.490234375,7581.60986328125,7663.2001953125,21800
2024-06-13,7657.85009765625,7694.64990234375,7557.31982421875,7590.56982421875,14900
2024-06-14,7602.330078125,7616.91015625,7505.0400390625,7616.91015625,16500
2024-06-17,7687.97998046875,7704.89013671875,7555.009765625,7560.66015625,19400
2024-06-18,7539.759765625,7676.1298828125,7505.7099609375,7634.68017578125,20400
2024-06-20,7514.8798828125,7562.2998046875,7422.330078125,7507.56982421875,22500
2024-06-21,7626.419921875,7693.91015625,7497.5,7570.0,84300
2024-06-24,7740.77978515625,7785.009765625,7629.990234375,7650.0,22600
2024-06-25,7571.669921875,7737.9599609375,7526.25,7737.9599609375,20200
2024-06-26,7656.1298828125,7668.9501953125,7540.0,7556.52001953125,15800
2024-06-27,7656.919921875,7716.39013671875,7637.02001953125,7674.89990234375,13400
2024-06-28,7588.56005859375,7756.0,7550.0,7664.7099609375,31400
2024-07-01,7482.16015625,7695.1298828125,7476.06005859375,7636.990234375,14600
2024-07-02,7460.7001953125,7512.0,7424.0,7444.31982421875,14300
2024-07-03,7456.990234375,7528.0,7412.990234375,7447.31982421875,12800
2024-07-05,7421.509765625,7475.02001953125,7390.0,7436.89013671875,15900
2024-07-08,7454.06005859375,7508.5,7400.0,7465.56005859375,16900
2024-07-09,7484.080078125,7570.0,7426.81982421875,7444.06005859375,16000
2024-07-10,7623.759765625,7634.7099609375,7510.0,7530.0,16200
2024-07-11,8069.89013671875,8119.97998046875,7783.66015625,7783.66015625,25400
2024-07-12,8062.27001953125,8243.1298828125,8041.97021484375,8062.0,24000
2024-07-15,8068.9599609375,8200.0,8000.0498046875,8080.0,17600
2024-07-16,8500.0,8540.0,8140.0,8140.0,25600
2024-07-17,8312.349609375,8468.8701171875,8301.8896484375,8457.6396484375,19800
2024-07-18,8407.66015625,8662.8603515625,8350.0,8350.0,27700
2024-07-19,8428.580078125,8507.740234375,8350.080078125,8495.0,13900
2024-07-22,8641.1201171875,8641.1201171875,8367.0400390625,8477.990234375,24100
2024-07-23,8599.919921875,8687.0595703125,8358.9296875,8512.0,30600
2024-07-24,8404.490234375,8695.0,8367.419921875,8571.98046875,18900
2024-07-25,8471.8798828125,8650.0,8352.08984375,8420.0,21300
2024-07-26,8600.599609375,8683.9501953125,8480.26953125,8553.0302734375,22300
2024-07-29,8600.83984375,8630.0,8530.6904296875,8617.3701171875,16900
