Price,Close,High,Low,Open,Volume
2024-05-30,129.7517547607422,130.3772355587091,129.28987186533044,129.96345414676267,1587600
2024-05-31,132.24403381347656,132.37876497035026,129.71328757681653,130.0597034643624,2282900
2024-06-03,134.07232666015625,134.08194402014837,131.07006584746443,131.96496486548128,1618100
2024-06-04,136.19894409179688,136.86290910803305,133.73554872019199,134.12046342387688,2125200
2024-06-05,135.22703552246094,136.40099944363456,134.55345327662158,136.2566656348803,1944000
2024-06-06,135.5157470703125,136.7859289104589,134.47649937401368,135.1597138098842,1528900
2024-06-07,134.68820190429688,136.3144317254138,134.5342360161804,134.99611899753467,1467100
2024-06-10,132.6096954345703,134.9768730477491,132.49422836958394,134.60159040354938,1717000
2024-06-11,131.8398895263672,132.85027046130833,131.45498949543486,132.29215513835993,2149700
2024-06-12,132.11895751953125,133.36027262792797,131.7340427968923,132.27292340858685,1279900
2024-06-13,132.80213928222656,132.888754259946,131.3683743484498,131.50309081235486,1554700
2024-06-14,131.628173828125,132.67705344625838,130.8968579865856,132.1959211255893,1418500
2024-06-17,131.75328063964844,133.02347708837752,130.8872482849652,131.28176565192433,1327800
2024-06-18,130.30987548828125,132.31138769685467,129.7710096403948,132.1381871098882,2540800
2024-06-20,129.08779907226562,130.59856164574083,128.96271465011972,129.59779817061232,3170900
2024-06-21,129.22251892089844,130.0308324205829,128.33723716695258,130.01158301552056,3868100
2024-06-24,128.93385314941406,130.00196755962006,128.29875491999556,129.35723728603224,2477100
2024-06-25,127.33649444580078,128.94347479509372,126.70139619527936,128.94347479509372,2364100
2024-06-26,126.98046112060547,127.98120998629645,126.31649610297636,126.87461141224438,1392500
2024-06-27,127.6059341430664,127.79838416409608,126.6821534859304,127.09593497998985,1355500
2024-06-28,127.46157836914062,127.9715774444753,126.74949726254461,127.50967985387594,5819000
2024-07-01,124.80573272705078,127.77912722318356,124.53629977689603,127.55781044619815,2789000
2024-07-02,125.12326049804688,125.96042597295121,124.19949473601287,124.71911114178299,2331500
2024-07-03,124.69025421142578,125.19063593706211,124.10327219183121,124.88270420344183,935900
2024-07-05,124.24761199951172,124.79610992031891,123.39119701324658,124.4400766837911,1477600
2024-07-08,123.11213684082031,125.51779837145072,122.79458775681798,124.96930049463047,1846100
2024-07-09,121.88044738769531,123.4489288251604,121.81308181253743,122.6695041283659,1709400
2024-07-10,124.29572296142578,124.47855559403244,121.69761134547245,122.01516044163245,2494000
2024-07-11,124.63253021240234,125.45044641176254,123.59328255645555,124.04554814792299,1623300
2024-07-12,126.35497283935547,126.51855607307108,124.50742641486907,125.37345875406795,2338800
2024-07-15,123.06403350830078,126.99007529770658,123.02554203881674,126.07592675732647,2157100
2024-07-16,124.05516052246094,124.33422550154992,121.48591559422935,121.87082293371836,2381300
2024-07-17,124.44969940185547,125.05593088084467,123.660635274727,124.19951585771437,1753800
2024-07-18,123.46818542480469,124.07441690457776,121.85158038123862,121.85158038123862,1714700
2024-07-19,122.1402587890625,124.21874672560104,121.96705084922621,124.1706305539532,2045800
2024-07-22,123.7568588256836,123.82420971689884,121.64949686562773,122.0536462618997,1605300
2024-07-23,121.68798828125,123.7857255381683,121.43779741349917,123.7857255381683,1298600
2024-07-24,121.19723510742188,122.04403273554514,120.05214511534142,121.21648451251394,1620500
2024-07-25,122.33270263671875,123.91082342109029,121.24534622226737,121.42817885553227,1987000
2024-07-26,123.21798706054688,124.17061963362053,122.60213829340093,122.87157121134022,1874400
2024-07-29,125.5081787109375,126.09516076964309,122.26535134626579,123.09289958176883,2150700
2024-07-30,127.1825180053711,127.60591680390195,124.95968899607749,125.25798869058967,1410500
2024-07-31,127.81761932373047,128.97233400419205,126.64365523841295,127.75025374823159,1943100
2024-08-01,129.4246063232422,129.66517250599915,126.69177801104186,128.42385746349086,1627800
2024-08-02,130.07894897460938,131.43574587026714,127.98121875266673,129.6651821573071,2301500
2024-08-05,128.2891387939453,131.07970059299265,126.99969291734949,130.02120353377094,3665000
2024-08-06,131.6859130859375,134.59194153341934,131.24326492050417,131.83024689912654,2981100
2024-08-07,131.27215576171875,133.14856909231793,129.6651753871546,131.426121646023,3071000
2024-08-08,131.92649841308594,133.17743079726563,131.0989501701549,131.1085675314352,1355100
2024-08-09,131.628173828125,132.59043846946312,131.29139001345257,132.24402261126167,1446300
2024-08-12,130.511962890625,131.08931288725242,129.72289880734235,130.82951199611725,1431300
2024-08-13,132.3979949951172,133.46610938690043,130.84874825898103,130.95459796205844,2388300
2024-08-14,132.08041381835938,132.98494475541273,131.87834650526725,132.31136257345503,1267900
2024-08-15,132.6096954345703,132.94649395143927,131.6185639721199,132.7155451384725,1134100
2024-08-16,132.21517944335938,132.8310283364078,131.5608464183061,132.75406007239806,1669800
2024-08-19,131.53195190429688,133.20628292876125,131.27213634833103,132.52308327806384,1671300
2024-08-20,131.7821502685547,132.96573176113034,131.2817685036713,131.7340340960284,1713300
2024-08-21,132.55194091796875,133.20627375996372,131.36835964024743,132.12854216938769,1583200
2024-08-22,131.5993194580078,132.94649889255916,131.38762004233539,132.72516743245055,1393600
2024-08-23,130.40609741210938,132.22477684499813,129.85759956452785,132.22477684499813,1657800
2024-08-26,129.85763549804688,131.15669888800537,129.67480283159387,130.80065091749307,1727500
2024-08-27,130.0703887939453,130.4765547800231,129.33542387955563,129.78026601638763,2079100
2024-08-28,131.1824951171875,131.81109686193108,129.93498648782142,130.3121416321652,2180100
2024-08-29,130.795654296875,132.16888601301227,130.20574354676464,131.33720880394281,1563000
2024-08-30,130.47653198242188,131.42425245101225,129.98333367612844,130.9794103919056,1892900
2024-09-03,129.08396911621094,131.18250062346496,128.26197184724407,130.16709310040332,1866500
2024-09-04,130.3701629638672,130.54424251426937,129.27737367976235,129.51914017580282,1877000
2024-09-05,130.0703887939453,130.52491103565896,129.45146708807573,130.360511571503,1570000
2024-09-06,129.4611053466797,131.0180820123058,129.17099738608516,129.99299453486023,1930100
2024-09-09,128.65846252441406,129.7802626989578,128.07823174038793,129.40310752465084,2379100
2024-09-10,128.51341247558594,129.75125589380812,128.43604541741487,128.68749204553524,2174300
2024-09-11,129.6158447265625,129.79958961328398,126.32782648458927,128.06853334430747,2067500
2024-09-12,129.01626586914062,130.73764199876092,128.7454885963636,129.6545329076528,1613600
2024-09-13,129.24835205078125,129.53847477297109,128.5520634200275,129.08395261799976,1811500
2024-09-16,130.12838745117188,131.0180863242025,129.38374256321234,130.00266415994037,1929300
2024-09-17,127.99119567871094,130.75700513001112,127.80745077099677,130.15741415385068,2009600
2024-09-18,126.29883575439453,128.71650095064055,125.97970217773918,128.03954289068582,2186200
2024-09-19,126.77267456054688,128.14590646822253,125.68956539533917,127.76875132989088,2616500
2024-09-20,125.43814086914062,126.59861715042085,124.48074019004976,126.4535483926005,3272700
2024-09-23,126.07640075683594,126.85005657594867,125.40912279730443,125.55419156378285,2140700
2024-09-24,129.3934326171875,129.85762016136744,126.20211189390648,127.31423188165691,2697000
2024-09-25,128.70680236816406,129.67386830782644,127.66236938257808,129.39342567807662,1396100
2024-09-26,133.5228271484375,133.87095678791655,129.85763826605856,129.85763826605856,2573000
2024-09-27,135.3118896484375,135.4086021628755,132.47839300175133,132.9909368645052,2778300
2024-09-30,135.10877990722656,136.82047588170443,134.0256560928276,135.36987706900877,2267200
2024-10-01,134.65428161621094,135.52463515548905,133.85161502692893,135.18615613673822,2070000
2024-10-02,134.9443817138672,135.29252606041945,133.5904952307506,134.15139527554345,1345200
2024-10-03,132.69113159179688,134.09337433250408,132.68145148784848,134.07402888086332,1993400
2024-10-04,132.0722198486328,133.28105243234108,131.06646287548355,132.68146143656693,1229600
2024-10-07,131.40493774414062,132.5557486884236,130.4765478564712,131.65636960134478,1473200
2024-10-08,130.28314208984375,132.11089637131747,129.16134190749554,131.51132013010871,1506200
2024-10-09,130.32180786132812,131.66602900090334,130.1767538649285,130.55390901182352,1574100
2024-10-10,128.8809051513672,130.3121588684109,128.1362601117955,129.88664741722707,1569900
2024-10-11,129.60617065429688,130.44751323027066,128.94855819642063,129.0742814801883,1334400
2024-10-14,130.21542358398438,130.69895655645556,128.9002133086126,129.32572468538805,1037900
2024-10-15,128.83251953125,130.2927837183951,128.31029568518176,129.78992007820543,1421700
2024-10-16,128.958251953125,129.50947187828874,126.73399728896476,127.92348429063853,1701700
2024-10-17,129.3257293701172,129.45145266951562,127.78809800346056,129.42244187061686,1701900
2024-10-18,129.8479461669922,130.07036719847983,128.75515694733792,129.98333480653966,1243600
2024-10-21,129.5868377685547,130.1380724450504,128.68747351480536,129.19033718611976,1294900
2024-10-22,128.96792602539062,130.04136990623033,128.51340381193782,129.19034707997716,941700
2024-10-23,129.60617065429688,131.1824779714227,128.88087125949082,129.29670249617772,1605100
2024-10-24,128.77452087402344,129.58685282786055,128.0008650700684,129.58685282786055,1275500
2024-10-25,128.65846252441406,129.9446621589114,128.45538691469488,129.64487404039266,956500
2024-10-28,130.4185028076172,131.08578061374598,129.4611022914862,129.84793749024044,1318000
2024-10-29,129.5578155517578,130.8053240290659,129.5578155517578,130.1187155261011,1487200
2024-10-30,128.99693298339844,129.85762113203828,128.3683459867115,128.8712096815586,1414700
2024-10-31,126.84036254882812,129.29670335615725,126.70497391781399,129.07428233868845,2219000
2024-11-01,127.98150634765625,128.94857231326876,127.47864267004178,127.84611770272073,1888600
2024-11-04,128.38766479492188,129.5868318345982,127.4979659291961,128.13623297077808,2670100
2024-11-05,130.28314208984375,132.43969529351213,128.71649977893975,128.813197532155,3779500
2024-11-06,129.9446563720703,132.2946344736826,126.97577136422814,132.2946344736826,3201200
2024-11-07,132.54605102539062,133.30036125333461,129.9543214742507,130.55389761537162,2338100
2024-11-08,132.69113159179688,133.89996408486448,131.04710759622012,131.87878494170087,1726900
2024-11-11,132.12054443359375,134.0063348277753,132.0431773873897,132.20759158323284,1741200
2024-11-12,130.17674255371094,132.0528527774939,129.38374142561517,131.62734141668687,2156200
2024-11-13,130.80532836914062,132.59440618729067,129.6932084862395,130.02200735085756,3055000
2024-11-14,132.2366180419922,132.85553972866916,130.83436045332328,130.83436045332328,1797800
2024-11-15,129.19033813476562,133.14563437210953,129.03560403956865,131.46294904467277,1679000
2024-11-18,129.59649658203125,130.11872043409375,128.9388988498099,129.05494203637727,1444400
2024-11-19,127.78810119628906,128.9582575540464,127.60435629450222,128.64878934971992,1160000
2024-11-20,128.50375366210938,128.8035418051074,126.85006406664967,127.91384272527968,1439000
2024-11-21,129.7996063232422,130.00268193010027,127.43996280184555,128.7745186719403,1031100
2024-11-22,130.81500244140625,131.39523310111434,129.76088944386683,130.09936839588698,992500
2024-11-25,132.536376953125,134.08367345072628,130.56355436664717,131.74337587755454,3604600
2024-11-26,134.06436157226562,134.42217126297817,132.64277340071064,134.42217126297817,1805700
2024-11-27,134.7412872314453,135.36987413415048,134.12236567503038,134.24808895807297,1614100
2024-11-29,134.36416625976562,134.76066690216348,133.73556444117588,134.4608640159857,1003200
2024-12-02,135.10267639160156,135.47194688833332,133.4604131754105,134.03374328409305,2295900
2024-12-03,133.82968139648438,135.54968652104324,133.80053002384423,135.36505127581694,1235900
2024-12-04,134.25726318359375,134.58765531306472,133.198057036182,133.60619110689777,1522700
2024-12-05,134.22811889648438,134.869463997039,133.32438175608476,134.45161772201462,939100
2024-12-06,133.74221801757812,135.6565704364312,133.51870440580336,134.65566717107234,968000
2024-12-09,135.15127563476562,135.20957838478117,133.40211899550232,133.98517615117657,1411000
2024-12-10,134.31556701660156,135.15127435702874,132.62471314333936,134.69454971587905,1406200
2024-12-11,134.62652587890625,135.13184110942612,133.897711823021,134.60710151340314,1357400
2024-12-12,134.72369384765625,134.9569196607343,133.55759443778297,134.7334060294584,1399700
2024-12-13,133.1300506591797,135.31649309701294,132.59558398660144,134.50022481221802,1044300
2024-12-16,131.23512268066406,134.01433425034034,131.12822935768574,133.18833904298418,1660300
2024-12-17,130.92413330078125,133.6061781157822,130.22447072536863,130.6326047563997,2263500
